"Products of agriculture, hunting and related services         ",2822,89,0,0,0,0,0,3931,893,0,3495,1065,42,1017,718,97,0,279,2,0,0,0,0,0,0,0,0,2,2,9,0,67,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,129,21,165,160,0,0,39,0,0,0,248,625,0,12,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,35,28,33,1,0,6,6,2,0,0
"Products of forestry, logging and related services         ",0,414,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fish and other fishing products; aquaculture products; support services to fishing     ,0,0,136,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,34,0,0,0,69,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal and lignite             ,0,0,0,53,0,1,0,1,1,0,1,1,0,34,1,0,0,0,0,0,0,0,10,0,39,0,0,0,0,0,6,0,0,38,0,0,2,0,12,0,1,0,1,0,0,0,0,0,0,0,0,3786,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Crude Petroleum And Natural Gas & Metal Ores,0,0,0,0,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23599,0,0,58,9,0,256,0,0,0,1,311,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15232,10912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other mining and quarrying products           ,0,0,0,0,0,773,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,51,0,15,341,71,3,0,0,631,363,0,32,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,3,0,0,2129,0,158,22,8,0,0,0,59,0,11,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,1,9,0,5,0,0,0,1,0,5,7,6,0,2
Mining support services             ,0,0,0,0,4270,0,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preserved meat and meat products           ,7,1,3,0,3,1,0,3805,1,10,1,5,28,413,137,3,1,1,2,2,101,1,3,1,9,1,1,2,1,2,1,5,2,1,6,32,1,2,0,65,1,6,6,0,6,0,1,1,0,1,1,7,2,1,0,5,0,6,7,84,395,3,7,2,3,8,10,268,597,2,10,12,9,1,30,16,0,0,0,3,2,3,9,1,7,3,1,1,11,1,2,6,93,94,138,264,132,1,2,0,40,1,1,1
"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables       ",19,0,4,0,12,2,2,72,697,0,207,89,302,311,158,73,107,1,2,5,0,3,4,3,17,1,1,6,3,3,1,6,7,2,7,36,3,2,0,8,3,11,13,2,10,1,2,1,0,1,2,21,6,0,1,8,0,13,23,291,1140,12,28,21,18,54,51,506,1352,4,36,43,25,2,106,19,0,0,0,12,2,13,20,6,19,16,4,1,41,10,4,22,38,52,176,145,221,4,6,26,31,14,1,1
Vegetable and animal oils and fats          ,3,0,0,0,3,0,0,135,105,423,19,41,172,114,364,0,0,0,0,0,0,0,0,0,25,49,24,16,5,32,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,6,17,126,0,1,8,3,5,37,37,106,1,3,1,2,0,14,4,0,0,0,3,3,18,2,3,2,10,0,0,20,1,1,10,13,4,48,24,520,1,0,3,4,3,0,3
